year,GDP Growth (%),Inflation (%),Unemployment Rate (%),Trade (% of GDP),Government Debt (% of GDP),country
2024,2.00361101838986,2.32174328643542,2.784,84.6424951192038,,South Korea
2023,1.58301467403629,3.5974562502901,2.675,82.2580090716629,48.5543799702909,South Korea
2022,2.72756456708991,5.08951365062842,2.857,90.5851475278549,47.6110651856141,South Korea
2021,4.61296795454287,2.49833333333339,3.639,75.3063047610912,45.8328934501884,South Korea
2020,-0.700242317542106,0.537288023411737,3.931,65.544957860621,43.775799174588,South Korea
2019,2.31380210595475,0.383000303608136,3.746,71.4470632403511,37.6954834097738,South Korea
2018,3.17611568177327,1.47583935002645,3.824,74.7075162140824,35.5200546750178,South Korea
2017,3.433191763972,1.94433230786366,3.653,73.1921408264016,35.4459831845843,South Korea
2016,3.17152748983935,0.971685739912168,3.65,69.8997221316919,36.1498684786294,South Korea
2015,2.92029267301234,0.70633177245575,3.546,75.3881774564907,35.7105611200011,South Korea
2014,3.21468019683108,1.27477446401322,3.082,86.9342577972039,34.8171173128439,South Korea
2013,3.2913959543442,1.30134754547413,3.067,94.1675235855873,33.3707589515616,South Korea
2012,2.54766550568242,2.18707104433314,2.812,101.51727207905,31.0184112293818,South Korea
2011,3.6880320602952,4.0259650043609,2.992,101.68061646213,,South Korea
2010,6.98166138853071,2.93928652655686,3.324,88.0278677123124,,South Korea
2009,0.81986175641795,2.7564965449393,3.363,83.1246099057162,,South Korea
2008,3.00440451679569,4.67389655533408,2.959,92.0833544961819,,South Korea
2007,5.8419633918717,2.53457382137932,3.013,71.3239614988013,,South Korea
2006,5.24500550580342,2.24234028518921,3.254,68.3749509402263,,South Korea
2005,4.35823667337156,2.75379162735039,3.482,66.1695148242697,,South Korea
2004,5.1836368597334,3.59066298882578,3.42,67.9270638751076,,South Korea
2003,3.07472661826947,3.51487451459939,3.348,59.4242945541732,,South Korea
2002,7.74399895319569,2.76226210296599,3.046,56.6688767960273,,South Korea
2001,4.72593560322356,4.06657587897792,3.699,60.4277386641693,,South Korea
2000,9.2018583880479,2.25916580080157,4.063,64.0588155729056,,South Korea
2024,1.37340773365975,3.16656665428797,3.942,47.1453811065195,,Australia
2023,3.58382100798981,5.59701792296707,3.668,49.044339318428,,Australia
2022,4.25304559238732,6.59409658717841,3.728,45.6946418805752,57.8834285733848,Australia
2021,2.00694844335034,2.86391284709318,5.022,40.2022359390595,69.836773674895,Australia
2020,-0.133531904304775,0.846900734607273,6.394,44.499564103879,69.0656538994855,Australia
2019,2.19401703622717,1.610770929127,5.143,46.0016827052171,59.9837867004913,Australia
2018,2.87417039499501,1.91140002818579,5.345,43.5732253645218,54.3001380799371,Australia
2017,2.29331030192918,1.94864309065653,5.592,42.0354135251854,53.1037976577229,Australia
2016,2.75564065529868,1.27699365720306,5.711,40.813402217321,54.463570652249,Australia
2015,2.16434780647852,1.50836803138463,6.055,41.4947506939901,46.293292747612,Australia
2014,2.60118978187332,2.48792932080492,6.078,42.2993095385282,41.5409287207942,Australia
2013,2.65445302592404,2.44988248109259,5.663,41.100511881056,37.4031396926122,Australia
2012,3.95247138119184,1.76278299052228,5.225,43.0198495527558,39.3096720165071,Australia
2011,2.39473494330615,3.30384784681081,5.083,41.7219860149689,30.0025299553744,Australia
2010,2.21004795300735,2.9183370211222,5.214,40.3905070860606,28.5706752868622,Australia
2009,1.95484826298522,1.77112025681656,5.565,45.5936120867789,23.7918159800555,Australia
2008,3.62398503565633,4.35029726664093,4.242,42.7522207880308,18.1404251935735,Australia
2007,3.78947119882653,2.32761442623159,4.381,41.9297451276561,20.0582738191257,Australia
2006,2.7709261737475,3.55528696972984,4.785,41.4878923489153,21.4023842789788,Australia
2005,3.15548121323168,2.69182949622197,5.036,39.0978822564811,22.3700818832059,Australia
2004,4.21894147547516,2.34325687131265,5.399,36.9505159618289,22.8245660455405,Australia
2003,3.0912800997751,2.73259754838937,5.933,40.1348011794482,25.0320718409237,Australia
2002,3.94980535772942,2.98157117047457,6.375,41.3813128146921,25.8412136969849,Australia
2001,2.03145880248898,4.40712998561533,6.747,44.1337313971929,27.6400889435694,Australia
2000,3.9160574881715,4.45743705920869,6.288,40.8631257691954,29.4708236736698,Australia
